# Galaxy-wide IMF output file.
# The columns are:
# mass xi
# where xi=dN/dm (see Yan et.al 2017 A&A...607A.126Y)

0.5041318507607027 10853937.49792757
0.5091731692683097 10608357.737304358
0.5142649009609928 10368334.432008035
0.5194075499706027 10133741.862411993
0.5246016254703088 9904457.153405353
0.5298476417250119 9680360.210033424
0.535146118142262 9461333.654593952
0.5404975793236846 9247262.765157286
0.5459025551169214 9038035.415476957
0.5513615806680906 8833542.016260268
0.5568751964747715 8633675.457767356
0.5624439484395192 8438331.053709213
0.5680683879239143 8247406.486415115
0.5737490718031535 8060801.753240375
0.579486562521185 7878419.114187064
0.5852814281463968 7700163.040709515
0.5911342424278608 7525940.165678409
0.5970455848521394 7355659.234476741
0.6030160407006608 7189231.057202498
0.6090462011076675 7026568.4619526295
0.6151366631187442 6867586.249164132
0.6212880297499316 6712201.146988002
0.6275009100474309 6560331.767673179
0.6337759191479052 6411898.564937175
0.6401136783393843 6266823.79230113
0.6465148151227781 6125031.462367881
0.6529799632740059 5986447.3070210405
0.6595097629067459 5850998.738524835
0.6661048605358134 5718614.8115040725
0.6727659091411715 5589226.185784284
0.6794935682325832 5462765.090072629
0.686288503914909 5339165.28646061
0.6931513889540581 5218362.035729988
0.7000829028435988 5100292.063443492
0.7070837318720348 4984893.526802953
0.7141545691907552 4872105.98225718
0.7212961148826627 4761870.353842888
0.7285090760314893 4654128.902241698
0.7357941667918042 4548825.194537437
0.7431521084597222 4445904.074657703
0.7505836295443195 4345311.63448413
0.7580894658397627 4246995.1856162865
0.7656703604981603 4150903.2317745793
0.7733270641031419 4056985.4418274965
0.7810603347441734 3965192.6234290097
0.7888709380916151 3875476.6972526815
0.7967596474725313 3787790.671808566
0.8047272439472566 3702088.6188299954
0.8127745163867292 3618325.649217201
0.8209022615505964 3536457.8895252678
0.8291112841661024 3456442.458984112
0.8374023970077634 3378237.4470382277
0.8457764209778411 3301801.8913949095
0.8542341851876195 3227095.756568837
0.8627765270394957 3154079.9129123236
0.8714042923098907 3082716.1161199296
0.8801183352329897 3012966.987196852
0.8889195185853196 2944795.9928804925
0.8978087137711728 2878167.4265050297
0.9067868009088845 2813046.3892989852
0.9158546689179734 2749398.772105885
0.9250132156071531 2687191.2375185266
0.9342633477632246 2626391.202417473
0.9436059812408568 2566966.8209047117
0.9530420410532654 2508886.9676232818
0.962572461463798 2452121.2214544616
0.972198186078436 2396639.8495837697
0.9819201679392203 2342413.791927436
0.9917393696186125 2289414.6459113644
1.0016567633147986 2237857.5947436183
1.0116733309479466 2188654.132520632
1.021790064257426 2140536.2118731905
1.0320079649000002 2093479.811638599
1.0423280445490002 2047461.4435835097
1.0527513249944902 2002458.1405537068
1.0632788382444351 1958447.4448879512
1.0739116266268796 1915407.397089922
1.0846507428931484 1873316.5247525477
1.09549725032208 1832153.8317290512
1.1064522228253006 1791898.7875452242
1.1175167450535537 1752531.3170475543
1.1286919125040893 1714031.7902819233
1.1399788316291302 1676381.0125977474
1.1513786199454215 1639560.2149725265
1.1628924061448758 1603551.0445518654
1.1745213302063244 1568335.5554002102
1.1862665435083877 1533896.1994575122
1.1981292089434716 1500215.8176973443
1.2101105010329063 1467277.631481842
1.2222116060432353 1435065.2341092017
1.2344337221036676 1403562.5825493506
1.2467780593247044 1372753.9893636338
1.2592458399179516 1342624.114804413
1.271838298317131 1313157.95909056
